name,wattage,efficiency,price,size,image,modularity,color
test,69420,N,69.42,SFX,https://m.media-amazon.com/images/I/41tTcSFPOyS.jpg,Full,creamy
Azza PSAZ-750W,750,Efficiency Rating80+ Bronze,59.95,TypeATX,https://m.media-amazon.com/images/I/51aiONtzGnS.jpg,ModularNo,ColorBlack
Thermaltake Smart,500,Efficiency Rating80+,61.6,TypeATX,https://m.media-amazon.com/images/I/519RlzaoKDL.jpg,ModularNo,Color
CoolMax ZX-500,500,Efficiency Rating80+,63.99,TypeATX,https://images-fe.ssl-images-amazon.com/images/I/516bfytLBEL.jpg,ModularNo,Color
Thermaltake Smart,600,Efficiency Rating80+,64.9,TypeATX,https://images-eu.ssl-images-amazon.com/images/I/51Ih1TB6nFL.jpg,ModularNo,Color
FSP Group HEXA 85+ PRO,450,Efficiency Rating80+ Bronze,64.99,TypeATX,https://m.media-amazon.com/images/I/41wH+TLFGEL.jpg,ModularNo,ColorBlack
EVGA 500 W1,500,Efficiency Rating80+,66.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/54c22d607bdad7d92e7512aaa53955e2.256p.jpg,ModularNo,Color
Azza PSAZ-650W,650,Efficiency Rating80+ Bronze,68.95,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/21efec726484eb1be8ea121f2eb49198.256p.jpg,ModularNo,ColorBlack
ASRock Challenger CL-550B,550,Efficiency Rating80+ Bronze,70.4,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/b4283167def49aee8fb2afeb234fd65e.256p.jpg,ModularNo,ColorBlack
Thermaltake Smart BX1 550,550,Efficiency Rating80+ Bronze,74.99,TypeATX,https://images-na.ssl-images-amazon.com/images/I/41bUVbWjjVL.jpg,ModularNo,ColorBlack
EVGA 610 BP,610,Efficiency Rating80+ Bronze,75.0,TypeATX,https://m.media-amazon.com/images/I/51T+stsZKEL.jpg,ModularNo,ColorBlack
Thermaltake Smart,700,Efficiency Rating80+,77.0,TypeATX,https://m.media-amazon.com/images/I/51BVjb7JUsL.jpg,ModularNo,Color
MSI MAG A550BN,550,Efficiency Rating80+ Bronze,77.53,TypeATX,https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg,ModularNo,ColorBlack
Apevia Prestige,600,Efficiency Rating80+ Gold,79.06,TypeATX,https://m.media-amazon.com/images/I/41pBDy5c8nL.jpg,ModularNo,ColorBlack
CoolMax ZX-600,600,Efficiency Rating80+,79.98,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/d94bb5f6531ecf447fa21f100f86fd7b.med.256p.jpg,ModularNo,Color
FSP Group HEXA 85+ PRO,550,Efficiency Rating80+ Bronze,79.99,TypeATX,https://m.media-amazon.com/images/I/41t+kAhuvcS.jpg,ModularNo,ColorBlack
Apevia Premier,650,Efficiency Rating80+ Gold,82.75,TypeATX,https://m.media-amazon.com/images/I/51YPQPp7z0S.jpg,ModularSemi,ColorBlack
SAMA GT,650,Efficiency Rating80+ Gold,82.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ModularFull,ColorBlack
ASRock Challenger CL-650B,650,Efficiency Rating80+ Bronze,83.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/770db437877b861f291f81c98c064622.256p.jpg,ModularNo,ColorBlack
Corsair CX (2023),550,Efficiency Rating80+ Bronze,84.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/5c9986f2ca555182c65ca3541ec840ed.256p.jpg,ModularNo,ColorBlack
Thermaltake Toughpower GX2,600,Efficiency Rating80+ Gold,85.8,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/56f77032e78c9af99041786b5196fe91.256p.jpg,ModularNo,ColorBlack
Corsair CX (2023),650,Efficiency Rating80+ Bronze,87.96,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/c058ff0ffb542302d5b1c75cf8658ecd.256p.jpg,ModularNo,ColorBlack
Azza PSAZ-550W,550,Efficiency Rating80+ Bronze,89.6,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/6f78fc48df682023799aa137d24b1743.256p.jpg,ModularNo,ColorBlack
SAMA GT,650,Efficiency Rating80+ Gold,89.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/99ed51760a854a4d8d5b2c4b304bc1c0.256p.jpg,ModularFull,ColorWhite
SAMA GT,750,Efficiency Rating80+ Gold,89.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/99ed51760a854a4d8d5b2c4b304bc1c0.256p.jpg,ModularFull,ColorWhite
ASRock Challenger CL-750G,750,Efficiency Rating80+ Gold,89.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/c3f4e6f17f3c57992c4cfc1813e07d0e.256p.jpg,ModularNo,ColorBlack
SAMA GT,750,Efficiency Rating80+ Gold,89.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ModularFull,ColorBlack
GAMDIAS KRATOS M1 B,750,Efficiency Rating80+ Bronze,89.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/7bdcdc33847e0c93aefcd66764e37870.256p.jpg,ModularNo,ColorBlack
FSP Group HEXA 85+ PRO,650,Efficiency Rating80+ Bronze,89.99,TypeATX,https://m.media-amazon.com/images/I/411tR4t-STL.jpg,ModularNo,ColorBlack
NZXT HALE82 V2 550W,550,Efficiency Rating80+ Bronze,89.99,TypeATX,/static/forever/img/no-image.png,ModularFull,Color
ASRock Challenger CL-750B,750,Efficiency Rating80+ Bronze,90.2,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/2e749fd4d8d5f2bab633401da1a0b3b4.256p.jpg,ModularNo,ColorBlack
MSI MAG A650BN,650,Efficiency Rating80+ Bronze,92.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,ModularNo,ColorBlack
Segotep GN,650,Efficiency Rating80+ Gold,94.11,TypeATX,https://m.media-amazon.com/images/I/410e35Vh0bL.jpg,ModularNo,ColorBlack
Corsair CX650M (2021),650,Efficiency Rating80+ Bronze,94.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/cd1c62429bd8d83e6d8dc273f0cc179c.256p.jpg,ModularSemi,ColorBlack
SAMA GT,850,Efficiency Rating80+ Gold,94.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ModularFull,ColorBlack
SAMA GT,850,Efficiency Rating80+ Gold,94.99,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/b419b2f970d9f21fb98193dd0448d97a.256p.jpg,ModularFull,ColorWhite
EVGA 710 BP,710,Efficiency Rating80+ Bronze,95.0,TypeATX,https://m.media-amazon.com/images/I/51RU8Rf0YXL.jpg,ModularNo,ColorBlack
CoolMax ZX-700,700,Efficiency Rating80+,96.99,TypeATX,https://m.media-amazon.com/images/I/41hcZqZyVJL.jpg,ModularNo,Color
Azza ARGB,650,Efficiency Rating80+ Bronze,99.57,TypeATX,https://m.media-amazon.com/images/I/51pSMRWC8PL.jpg,ModularNo,ColorBlack
Thermaltake TR2 S,600,Efficiency Rating80+,99.74,TypeATX,//cdna.pcpartpicker.com/static/forever/images/product/a2dbc1855aafadffeb4aedfb06e169f9.256p.jpg,ModularNo,ColorBlack
Thermaltake Smart BX1 650,650,Efficiency Rating80+ Bronze,99.99,TypeATX,https://images-na.ssl-images-amazon.com/images/I/41oykKKWjkL.jpg,ModularNo,ColorBlack
FSP Group HEXA 85+ PRO,750,Efficiency Rating80+ Bronze,99.99,TypeATX,/static/forever/img/no-image.png,ModularNo,ColorBlack
