located Name,Wattage,Price,Efficiency,Matched Tier Model,Tier,Matched Tier Model Info,Similarity,Image URL,modularity,Product URL,size,color,atxver
GameMax GT,300,34.99,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/5a6606541a522f77579a02ff19a5b5af.256p.jpg,No,,TFX,Silver,N/A
GameMax GS,300,36.95,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/7ba328d57a7266a21ad640eb2355f003.256p.jpg,No,,SFX,Silver,N/A
Deepcool PF500 230V,500,37.94,80+,deepcool gamerstorm pf,E,"Doesn't claim necessary protections, unknown components such as the capacitors.",83.12727272727273,https://m.media-amazon.com/images/I/41tsfBjX5TL.jpg,No,,ATX,Black,ATX 2.x
Aerocool Integrator,500,37.99,80+ Bronze,aerocool ae,E,Overall very low build quality,92.41052631578948,//cdna.pcpartpicker.com/static/forever/images/product/92f02e5cf3c4f6897d314beb5ea48422.256p.jpg,No,,ATX,Black,ATX 2.x
ENDORFY Vero L5,500,40.31,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/d2e2490a078d64e82a1181d7e43afa05.256p.jpg,No,,ATX,Black,N/A
GameMax GP,400,41.95,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/6d295e41983c7f231ee72748ec8f92d7.256p.jpg,No,,ATX,Black,N/A
Aerocool Integrator,600,41.99,80+ Bronze,aerocool ae,E,Overall very low build quality,92.41052631578948,//cdna.pcpartpicker.com/static/forever/images/product/ad5ab76e9b447df20f37e90642aec899.256p.jpg,No,,ATX,Black,ATX 2.x
Deepcool PF400 230V,400,42.09,80+,deepcool gamerstorm pf,E,"Doesn't claim necessary protections, unknown components such as the capacitors.",83.12727272727273,//cdna.pcpartpicker.com/static/forever/images/product/1ccbaf569f8ecca5b7d8e00162e6be89.256p.jpg,No,,ATX,Black,ATX 2.x
Deepcool PF600 230V,600,42.94,80+,deepcool gamerstorm pf,E,"Doesn't claim necessary protections, unknown components such as the capacitors.",83.12727272727273,//cdna.pcpartpicker.com/static/forever/images/product/5559b24c0248255b164057c188303fdf.256p.jpg,No,,ATX,Black,ATX 2.x
Aerocool Integrator,700,42.96,80+ Bronze,aerocool ae,E,Overall very low build quality,92.41052631578948,//cdna.pcpartpicker.com/static/forever/images/product/4c04fbb8bc3c8c65fbf3a6152ce351f6.256p.jpg,No,,ATX,Black,ATX 2.x
MSI MAG A550BN,550,42.99,80+ Bronze,msi mag a bn,C,Capacitors and fans appear to be variable based on region/batch.,93.01538461538462,https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg,No,,ATX,Black,ATX 2.x
GameMax GP,500,42.99,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/1dac3bab43bfcf462070fb58e1fb2ffa.256p.jpg,No,,ATX,Black,N/A
ENDORFY Vero L5,600,44.89,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/bce8470b4d5e51c9fe52d7e17af4c39d.256p.jpg,No,,ATX,Black,N/A
be quiet! System Power 10,450,44.9,80+ Bronze,be quiet system power 10 bronze,E,"Terrible ripple suppression, especially on 12V (well over 100mV under full load), OCP is not set properly, low efficiency, low quality fan.",112.2,//cdna.pcpartpicker.com/static/forever/images/product/62626498104ab694ca38b6996eb58acb.256p.jpg,No,,ATX,Black,ATX 2.x
GameMax RGB Rainbow,550,44.95,80+ Gold,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/3d9c70e9fce36a40c8d35f3bd7a0f52b.256p.jpg,Full,,ATX,Black,N/A
MSI MAG A650BN,650,47.99,80+ Bronze,msi mag a bn,C,Capacitors and fans appear to be variable based on region/batch.,93.01538461538462,//cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,No,,ATX,Black,ATX 2.x
NZXT C750 (2023),750,49.99,80+ Bronze,No Match,N/A,No Match Info,0,https://m.media-amazon.com/images/I/41T1P8UOZTL.jpg,No,,ATX,Black,N/A
Gigabyte P550SS,550,49.99,80+ Silver,gigabyte p ss,C*,"Not enough extensive testing; platform is unknown but looks similar to the Cougar GEC, which uses a costdown 2008 platform.",94.3142857142857,https://m.media-amazon.com/images/I/31FGgZumG9L.jpg,No,,ATX,White,ATX 2.x
Corsair CX (2023),550,50.0,80+ Bronze,corsair cx non modular 2013 green label,E,"Green ""CX"" lettering on black label. 85C caps all around, 30C rated operating temp, avoid.",112.8,//cdna.pcpartpicker.com/static/forever/images/product/5c9986f2ca555182c65ca3541ec840ed.256p.jpg,No,,ATX,Black,ATX 2.x
Silverstone SST-TX300,300,51.2,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/ed4d5da91285cfe1f9360ff41b975c97.256p.jpg,No,,TFX,Black,N/A
Inter-Tech Argus RGB II,500,51.71,80+ Bronze,No Match,N/A,No Match Info,0,https://m.media-amazon.com/images/I/41siUATjegS.jpg,No,,ATX,Black,N/A
be quiet! System Power 9 CM,400,52.06,80+ Bronze,be quiet system power 9 cm,C-,,111.2,//cdna.pcpartpicker.com/static/forever/images/product/c7615ed81c90d3e051aca4d771cc78fb.256p.jpg,Semi,,ATX,Black,ATX 2.x
ENDORFY Vero L5,700,52.49,80+ Bronze,No Match,N/A,No Match Info,0,//cdna.pcpartpicker.com/static/forever/images/product/d2e2490a078d64e82a1181d7e43afa05.256p.jpg,No,,ATX,Black,N/A
Gigabyte P450B,450,52.99,80+ Bronze,gigabyte pb,E,,96.2,https://m.media-amazon.com/images/I/41FxTFFeX4L.jpg,No,,ATX,Black,ATX 2.x
